"Product name"|"Product code"|"Unit price"|"Supplier"|"Profit margin"
"Super Muesli"|"20077"|"21.40"|"Food Pirate"|"17.00"
"Super Muesli"|"20078"|"20.10"|"Food Pirate"|"11.00"
"Super Muesli"|"20079"|"23.00"|"Food Pirate"|"15.00"
"Deluxe Muesli"|"20080"|"16.40"|"Food Pirate"|"13.00"
"Deluxe Muesli"|"20081"|"15.25"|"Food Pirate"|"5.00"
"Deluxe Muesli"|"20082"|"22.25"|"Food Pirate"|"16.00"
"Muesli Base"|"20083"|"10.75"|"Food Pirate"|"16.00"
"Quinoa Puffs "|"20084"|"12.85"|"Food Pirate"|"4.00"
"Hazel Malt Crunch"|"20085"|"15.35"|"Food Pirate"|"7.00"
"Orange Walnut Crunch"|"20086"|"16.20"|"Food Pirate"|"12.00"
"Aduki Beans"|"20087"|"17.90"|"Food Pirate"|"3.00"
"Black Turtle Beans"|"20088"|"10.10"|"Food Pirate"|"10.00"
"Brown Lentils"|"20089"|"12.30"|"Food Pirate"|"15.00"
"Cannelini Beans"|"20090"|"13.35"|"Food Pirate"|"17.00"
"Calypso Beans "|"20091"|"11.89"|"Food Pirate"|"15.00"
"Chickpeas"|"20092"|"10.89"|"Food Pirate"|"17.00"
"Butter Beans"|"20093"|"19.05"|"Food Pirate"|"12.00"
"Green Lentils"|"20094"|"14.35"|"Food Pirate"|"16.00"
"Green Split Peas"|"20095"|"12.60"|"Food Pirate"|"5.00"
"Haricot Beans"|"20096"|"14.70"|"Food Pirate"|"18.00"
"Mung Beans"|"20097"|"14.35"|"Food Pirate"|"5.00"
"Pinto Beans"|"20098"|"12.04"|"Food Pirate"|"4.00"
"French Type Lentils"|"20099"|"17.00"|"Food Pirate"|"12.00"
"Red Kidney Beans"|"20100"|"13.40"|"Food Pirate"|"5.00"
"Red Split Lentils"|"20101"|"11.20"|"Food Pirate"|"14.00"
"Red Split Lentils"|"20102"|"22.40"|"Food Pirate"|"11.00"
"Soya Beans"|"20103"|"8.64"|"Food Pirate"|"10.00"
"Yellow Split Peas "|"20104"|"12.50"|"Food Pirate"|"13.00"
"Alfalfa Seeds"|"20105"|"11.60"|"Food Pirate"|"14.00"
"Alfalfa Seeds"|"20106"|"8.70"|"Food Pirate"|"11.00"
"Flaked Almonds"|"20107"|"15.55"|"Food Pirate"|"11.00"
"Flaked Almonds"|"20108"|"25.60"|"Food Pirate"|"7.00"
"Ground Almonds"|"20109"|"25.85"|"Food Pirate"|"12.00"
"Almonds"|"20110"|"11.25"|"Food Pirate"|"16.00"
"Blanched Almonds"|"20111"|"16.25"|"Food Pirate"|"4.00"
"Blanched Almonds"|"20112"|"24.55"|"Food Pirate"|"12.00"
"Almonds"|"20113"|"20.75"|"Food Pirate"|"5.00"
"Almonds"|"20114"|"21.35"|"Food Pirate"|"5.00"
"Brazil Nuts "|"20115"|"15.90"|"Food Pirate"|"13.00"
"Brazil Nuts "|"20116"|"19.90"|"Food Pirate"|"10.00"
"Brazil Nuts "|"20117"|"21.25"|"Food Pirate"|"16.00"
"Coconut Desiccated Medium"|"20118"|"6.55"|"Food Pirate"|"7.00"
"Coconut Chips"|"20119"|"6.10"|"Food Pirate"|"18.00"
"Coconut Desiccated Medium"|"20120"|"8.60"|"Food Pirate"|"16.00"
"Cashews Whole"|"20121"|"15.34"|"Food Pirate"|"13.00"
"Cashews Whole"|"20122"|"26.80"|"Food Pirate"|"6.00"
"Cashews Whole"|"20123"|"29.09"|"Food Pirate"|"17.00"
"Cashews & Raisins"|"20124"|"10.50"|"Food Pirate"|"14.00"
"Hazelnuts"|"20125"|"21.00"|"Food Pirate"|"18.00"
"Cashews & Raisins"|"20126"|"17.25"|"Food Pirate"|"13.00"
"Fruit & Nut Mix"|"20127"|"19.40"|"Food Pirate"|"5.00"
"Goji Berry Hi Energy Trail Mix"|"20128"|"21.20"|"Food Pirate"|"13.00"
"Goji Berry Hi Energy Trail Mix"|"20129"|"16.25"|"Food Pirate"|"5.00"
"Hazelnuts"|"20130"|"32.60"|"Food Pirate"|"13.00"
"Hazelnuts"|"20131"|"26.15"|"Food Pirate"|"3.00"
"Roast Whole Hazelnuts"|"20132"|"24.25"|"Food Pirate"|"12.00"
"Linseed Brown"|"20133"|"7.75"|"Food Pirate"|"4.00"
"Linseed Brown "|"20134"|"15.25"|"Food Pirate"|"14.00"
"Linseed Gold"|"20135"|"8.50"|"Food Pirate"|"4.00"
"Linseed Gold "|"20136"|"18.00"|"Food Pirate"|"15.00"
"Linseed Gold "|"20137"|"17.65"|"Food Pirate"|"15.00"
"Nut Mix "|"20138"|"18.15"|"Food Pirate"|"4.00"
"Nut Mix "|"20139"|"26.95"|"Food Pirate"|"8.00"
"Omega Four Seed Mix"|"20140"|"12.70"|"Food Pirate"|"10.00"
"Peanuts"|"20141"|"12.20"|"Food Pirate"|"6.00"
"Omega Four Seed Mix"|"20142"|"13.60"|"Food Pirate"|"7.00"
"Peanuts"|"20143"|"23.70"|"Food Pirate"|"11.00"
"Pecans - halves"|"20144"|"30.85"|"Food Pirate"|"13.00"
"Pecans - halves"|"20145"|"30.95"|"Food Pirate"|"11.00"
"Pine Kernels"|"20146"|"35.25"|"Food Pirate"|"5.00"
"Pine Kernels"|"20147"|"43.65"|"Food Pirate"|"11.00"
"Poppy Seeds"|"20148"|"10.65"|"Food Pirate"|"4.00"
"Poppy Seeds"|"20149"|"8.95"|"Food Pirate"|"7.00"
"Pumpkin Seeds"|"20150"|"9.90"|"Food Pirate"|"11.00"
"Pumpkin Seeds"|"20151"|"16.90"|"Food Pirate"|"11.00"
"Pumpkin Seeds"|"20152"|"15.20"|"Food Pirate"|"10.00"
"Three Seed Mix"|"20153"|"17.30"|"Food Pirate"|"5.00"
"Sesame Seeds - dehulled"|"20154"|"10.64"|"Food Pirate"|"14.00"
"Sesame Seeds - whole "|"20155"|"11.00"|"Food Pirate"|"12.00"
"Sesame Seeds - whole "|"20156"|"12.90"|"Food Pirate"|"4.00"
"Black Sesame Seeds - whole"|"20157"|"8.90"|"Food Pirate"|"7.00"
"Sunflower Seed - kernels"|"20158"|"10.65"|"Food Pirate"|"15.00"
"Sunflower Seed - kernels"|"20159"|"16.65"|"Food Pirate"|"7.00"
"Sunflower Seed - kernels"|"20160"|"14.55"|"Food Pirate"|"12.00"
"Trail Mix"|"20161"|"12.64"|"Food Pirate"|"11.00"
"Walnut Pieces - Extra Light"|"20162"|"14.10"|"Food Pirate"|"14.00"
"Walnut Pieces - Extra Light"|"20163"|"23.35"|"Food Pirate"|"15.00"
"Walnut Pieces - Extra Light"|"20164"|"29.40"|"Food Pirate"|"17.00"
"Walnut Halves - Extra Light"|"20165"|"21.20"|"Food Pirate"|"17.00"
"Walnut Halves - Extra Light"|"20166"|"27.20"|"Food Pirate"|"17.00"
"Almonds - NP supreme"|"20167"|"13.54"|"Food Pirate"|"16.00"
"Almonds - NP supreme"|"20168"|"21.00"|"Food Pirate"|"12.00"
"Almonds - NP supreme"|"20169"|"43.75"|"Food Pirate"|"3.00"
"Brazil Nuts"|"20170"|"10.30"|"Food Pirate"|"16.00"
"Brazil Nuts"|"20171"|"24.45"|"Food Pirate"|"7.00"
"Brazil Nuts"|"20172"|"43.34"|"Food Pirate"|"16.00"
"Cashews - large white pieces"|"20173"|"10.25"|"Food Pirate"|"8.00"
"Cashews - large white pieces"|"20174"|"16.90"|"Food Pirate"|"17.00"
"Cashews - large white pieces"|"20175"|"28.25"|"Food Pirate"|"8.00"
"Cashews Whole"|"20176"|"13.50"|"Food Pirate"|"17.00"
"Cashews Whole"|"20177"|"23.09"|"Food Pirate"|"16.00"
"Cashews Whole"|"20178"|"19.70"|"Food Pirate"|"4.00"
"Chia Seeds"|"20179"|"19.75"|"Food Pirate"|"15.00"
"Chia Seeds"|"20180"|"36.10"|"Food Pirate"|"15.00"
"Macadamia Nuts - raw"|"20181"|"24.20"|"Food Pirate"|"3.00"
"Pecans - choice halves"|"20182"|"26.90"|"Food Pirate"|"6.00"
"Pecans - choice halves"|"20183"|"49.15"|"Food Pirate"|"17.00"
"Pecans - choice halves"|"20184"|"35.60"|"Food Pirate"|"16.00"
"Pine Kernels"|"20185"|"39.19"|"Food Pirate"|"6.00"
"Pine Kernels"|"20186"|"60.65"|"Food Pirate"|"15.00"
"Pistachios Jumbo - roast & salt"|"20187"|"15.00"|"Food Pirate"|"5.00"
"Pistachios Jumbo - roast & salt"|"20188"|"35.05"|"Food Pirate"|"8.00"
"Pistachios Jumbo - roast & salt"|"20189"|"23.60"|"Food Pirate"|"17.00"
"Raw Pistachio Kernels"|"20190"|"26.70"|"Food Pirate"|"17.00"
"Raw Pistachio Kernels"|"20191"|"20.80"|"Food Pirate"|"16.00"
"Pumpkin Seeds - AA grade"|"20192"|"12.45"|"Food Pirate"|"5.00"
"Pumpkin Seeds - AA grade"|"20193"|"15.40"|"Food Pirate"|"12.00"
"Pumpkin Seeds - AA grade"|"20194"|"29.30"|"Food Pirate"|"17.00"
"Sunflower Seeds"|"20195"|"9.85"|"Food Pirate"|"4.00"
"Sunflower Seeds"|"20196"|"15.40"|"Food Pirate"|"6.00"
"Apple Rings"|"20197"|"30.20"|"Food Pirate"|"18.00"
"Apricots Whole"|"20198"|"19.34"|"Food Pirate"|"5.00"
"Apricots Whole"|"20199"|"32.60"|"Food Pirate"|"11.00"
"Cranberries with Apple Juice"|"20200"|"14.54"|"Food Pirate"|"10.00"
"Cranberries with Apple Juice"|"20201"|"16.54"|"Food Pirate"|"16.00"
"Apricots Whole"|"20202"|"32.45"|"Food Pirate"|"18.00"
"Chopped Apricots"|"20203"|"17.45"|"Food Pirate"|"17.00"
"Banana Chips"|"20204"|"8.60"|"Food Pirate"|"17.00"
"Currants"|"20205"|"13.54"|"Food Pirate"|"4.00"
"Currants"|"20206"|"30.60"|"Food Pirate"|"14.00"
"Dates - pitted "|"20207"|"15.09"|"Food Pirate"|"15.00"
"Dates - pitted "|"20208"|"25.65"|"Food Pirate"|"12.00"
"Dates - pitted "|"20209"|"32.75"|"Food Pirate"|"13.00"
"Figs"|"20210"|"19.40"|"Food Pirate"|"16.00"
"Figs"|"20211"|"32.45"|"Food Pirate"|"15.00"
"Figs"|"20212"|"23.29"|"Food Pirate"|"3.00"
"Mixed Vine Fruit"|"20213"|"11.75"|"Food Pirate"|"5.00"
"Mixed Vine Fruit"|"20214"|"24.70"|"Food Pirate"|"4.00"
"Goji Berry"|"20215"|"22.04"|"Food Pirate"|"5.00"
"Goji Berry"|"20216"|"38.80"|"Food Pirate"|"18.00"
"Fruit Salad"|"20217"|"11.29"|"Food Pirate"|"4.00"
"Mulberries"|"20218"|"15.80"|"Food Pirate"|"8.00"
"Ginger Crystallised"|"20219"|"13.75"|"Food Pirate"|"10.00"
"Pitted Prunes"|"20220"|"15.35"|"Food Pirate"|"8.00"
"Pitted Prunes"|"20221"|"30.15"|"Food Pirate"|"16.00"
"Raisins"|"20222"|"12.29"|"Food Pirate"|"13.00"
"Raisins"|"20223"|"25.65"|"Food Pirate"|"17.00"
"Raisins"|"20224"|"21.05"|"Food Pirate"|"10.00"
"Sultanas"|"20225"|"13.90"|"Food Pirate"|"18.00"
"Sultanas"|"20226"|"18.85"|"Food Pirate"|"12.00"
"Sultanas"|"20227"|"26.10"|"Food Pirate"|"18.00"
"Apricots Whole Yellow - SO2"|"20228"|"12.30"|"Food Pirate"|"8.00"
"Apricots Whole Yellow - SO2"|"20229"|"15.45"|"Food Pirate"|"3.00"
"Select Dates"|"20230"|"8.60"|"Food Pirate"|"18.00"
"Select Dates"|"20231"|"14.70"|"Food Pirate"|"18.00"
"Select Dates"|"20232"|"9.70"|"Food Pirate"|"16.00"
"Ginger crystallised & caster sugar"|"20233"|"11.64"|"Food Pirate"|"5.00"
"Goji Berries"|"20234"|"16.35"|"Food Pirate"|"8.00"
"Goji Berries"|"20235"|"20.10"|"Food Pirate"|"10.00"
"Prunes Pitted"|"20236"|"11.45"|"Food Pirate"|"16.00"
"Prunes Pitted"|"20237"|"19.35"|"Food Pirate"|"8.00"
"Japanese Rice Crackers"|"20238"|"11.35"|"Food Pirate"|"3.00"
"Japanese Rice Crackers"|"20239"|"18.40"|"Food Pirate"|"10.00"
"Cacao Nibs - raw      "|"20240"|"28.04"|"Food Pirate"|"12.00"
"Cacao Nibs - raw      "|"20241"|"21.04"|"Food Pirate"|"8.00"
"Bombay Mix"|"20242"|"7.15"|"Food Pirate"|"3.00"
"Bombay Mix"|"20243"|"11.15"|"Food Pirate"|"13.00"
"Bombay Mix"|"20244"|"9.80"|"Food Pirate"|"15.00"
"Cashews - whole"|"20245"|"9.25"|"Food Pirate"|"7.00"
"Nut Mix"|"20246"|"9.40"|"Food Pirate"|"18.00"
"Pistachio Nuts - roasted & salted"|"20247"|"7.60"|"Food Pirate"|"6.00"
"Smoked Almonds"|"20248"|"9.00"|"Food Pirate"|"8.00"
"Smoked Cashews"|"20249"|"7.25"|"Food Pirate"|"17.00"
"Hot Chilli Almonds"|"20250"|"8.90"|"Food Pirate"|"11.00"
"Hot Chilli Cashews"|"20251"|"8.50"|"Food Pirate"|"10.00"
"Seasalt & Black Pepper Cashews"|"20252"|"9.15"|"Food Pirate"|"5.00"
"Roasted & Salted Nut Mix"|"20253"|"10.00"|"Food Pirate"|"5.00"
"Soya Mince"|"20254"|"10.90"|"Food Pirate"|"10.00"
"Sun Dried Tomato Halves   "|"20255"|"21.90"|"Food Pirate"|"7.00"
"Dark Chocolate (73%) Buttons"|"20256"|"13.95"|"Food Pirate"|"18.00"
"Milk Chocolate Buttons"|"20257"|"11.60"|"Food Pirate"|"5.00"
"White Chocolate Buttons"|"20258"|"15.10"|"Food Pirate"|"14.00"
"Mixed (Dark, Milk & White) Chocolate Buttons"|"20259"|"15.65"|"Food Pirate"|"16.00"
"FairTrade Dark Chocolate (73%) Buttons"|"20260"|"18.15"|"Food Pirate"|"4.00"
"FairTrade Milk Chocolate Buttons"|"20261"|"14.30"|"Food Pirate"|"10.00"
"FairTrade White Chocolate Buttons"|"20262"|"12.95"|"Food Pirate"|"14.00"
"FairTrade Mixed Chocolate Buttons"|"20263"|"14.40"|"Food Pirate"|"17.00"
"Cooking Chocolate - milk   "|"20264"|"14.15"|"Food Pirate"|"18.00"
"Cooking Chocolate - white   "|"20265"|"14.70"|"Food Pirate"|"5.00"
"Fruit & Nut Mix   "|"20266"|"7.55"|"Food Pirate"|"12.00"
"Cashews & Raisins   "|"20267"|"7.50"|"Food Pirate"|"13.00"
"Roast Hazels & Raisins   "|"20268"|"6.05"|"Food Pirate"|"16.00"
"Amaranth Seed"|"20269"|"74.90"|"Food Pirate"|"5.00"
"Arborio Rice - white"|"20270"|"39.80"|"Food Pirate"|"16.00"
"Arborio Rice - white"|"20271"|"11.15"|"Food Pirate"|"6.00"
"Brown Rice Short Grain"|"20272"|"27.70"|"Food Pirate"|"3.00"
"Black Rice"|"20273"|"96.50"|"Food Pirate"|"13.00"
"Black Rice - 2.5kg"|"20274"|"12.70"|"Food Pirate"|"5.00"
"Brown Rice Short Grain"|"20275"|"6.85"|"Food Pirate"|"18.00"
"Brown Basmati "|"20276"|"38.80"|"Food Pirate"|"13.00"
"Brown Basmati "|"20277"|"10.85"|"Food Pirate"|"7.00"
"Brown Rice Long Grain"|"20278"|"26.40"|"Food Pirate"|"17.00"
"Brown Rice Long Grain"|"20279"|"6.55"|"Food Pirate"|"11.00"
"Buckwheat Groats"|"20280"|"29.40"|"Food Pirate"|"4.00"
"Buckwheat Groats"|"20281"|"8.95"|"Food Pirate"|"6.00"
"Bulghur"|"20282"|"30.40"|"Food Pirate"|"10.00"
"Bulghur"|"20283"|"8.65"|"Food Pirate"|"4.00"
"White Cous Cous"|"20284"|"34.90"|"Food Pirate"|"17.00"
"Camargue Red Rice"|"20285"|"80.75"|"Food Pirate"|"16.00"
"Camargue Red Rice"|"20286"|"15.10"|"Food Pirate"|"18.00"
"White Cous Cous"|"20287"|"10.75"|"Food Pirate"|"8.00"
"Wholemeal Cous Cous"|"20288"|"43.90"|"Food Pirate"|"11.00"
"Wholemeal Cous Cous"|"20289"|"8.80"|"Food Pirate"|"10.00"
"Millet"|"20290"|"37.60"|"Food Pirate"|"8.00"
"Millet"|"20291"|"11.50"|"Food Pirate"|"12.00"
"Kasha - Roasted Buckwheat"|"20292"|"66.60"|"Food Pirate"|"8.00"
"Oat Groats"|"20293"|"18.10"|"Food Pirate"|"14.00"
"Oat Groats"|"20294"|"4.75"|"Food Pirate"|"18.00"
"Popping Corn"|"20295"|"39.60"|"Food Pirate"|"13.00"
"Popping Corn"|"20296"|"7.05"|"Food Pirate"|"10.00"
"Pearl Barley"|"20297"|"28.60"|"Food Pirate"|"13.00"
"Pearl Barley"|"20298"|"7.30"|"Food Pirate"|"6.00"
"Pot Barley"|"20299"|"26.20"|"Food Pirate"|"3.00"
"Pot Barley"|"20300"|"6.75"|"Food Pirate"|"7.00"
"Quinoa Grain - FairTrade"|"20301"|"71.40"|"Food Pirate"|"8.00"
"Quinoa Grain "|"20302"|"18.45"|"Food Pirate"|"11.00"
"Rye Grain"|"20303"|"18.55"|"Food Pirate"|"11.00"
"Rye Grain"|"20304"|"5.55"|"Food Pirate"|"5.00"
"Spelt Grain"|"20305"|"33.15"|"Food Pirate"|"4.00"
"Spelt Grain"|"20306"|"7.75"|"Food Pirate"|"10.00"
"Wheat Grain"|"20307"|"19.00"|"Food Pirate"|"5.00"
"Wheat Grain"|"20308"|"6.15"|"Food Pirate"|"18.00"
"White Basmati "|"20309"|"56.45"|"Food Pirate"|"14.00"
"White Basmati "|"20310"|"10.55"|"Food Pirate"|"6.00"
"Wild Rice"|"20311"|"242.80"|"Food Pirate"|"17.00"
"Wild Rice - 2.5kg"|"20312"|"22.40"|"Food Pirate"|"11.00"
"Wild Rice Mix"|"20313"|"88.50"|"Food Pirate"|"14.00"
"Wild Rice Mix"|"20314"|"8.95"|"Food Pirate"|"7.00"
"Brown Jasmine Rice - FairTrade"|"20315"|"48.30"|"Food Pirate"|"16.00"
"Brown Jasmine Rice - FairTrade"|"20316"|"8.65"|"Food Pirate"|"7.00"
"Red Quinoa Grain - FairTrade"|"20317"|"83.85"|"Food Pirate"|"5.00"
"White Jasmine Rice - FairTrade"|"20318"|"38.40"|"Food Pirate"|"15.00"
"Red Quinoa Grain "|"20319"|"19.90"|"Food Pirate"|"10.00"
"Black Quinoa Grain"|"20320"|"157.55"|"Food Pirate"|"7.00"
"White Jasmine Rice - FairTrade"|"20321"|"8.50"|"Food Pirate"|"6.00"
"Black Quinoa Grain - 2.5kg"|"20322"|"15.64"|"Food Pirate"|"11.00"
"Tricolour Quinoa Grain "|"20323"|"110.95"|"Food Pirate"|"14.00"
"Tricolour Quinoa Grain "|"20324"|"22.40"|"Food Pirate"|"14.00"
"Brown Jasmine Rice - precooked"|"20325"|"16.75"|"Food Pirate"|"6.00"
"White Jasmine Rice - precooked"|"20326"|"20.20"|"Food Pirate"|"4.00"
"Kamut Cous Cous"|"20327"|"23.65"|"Food Pirate"|"12.00"
"Wild Rice Mix"|"20328"|"18.30"|"Food Pirate"|"5.00"
"Carnaroli - risotto rice"|"20329"|"26.55"|"Food Pirate"|"7.00"
"Essenza - fragrant rice"|"20330"|"22.70"|"Food Pirate"|"8.00"
"Nerone - black rice"|"20331"|"34.65"|"Food Pirate"|"6.00"
"Wild Red Rice"|"20332"|"40.80"|"Food Pirate"|"11.00"
"Whole Buckwheat - active germinated"|"20333"|"16.75"|"Food Pirate"|"18.00"
"Crunchy Oat Groats - active germinated"|"20334"|"16.15"|"Food Pirate"|"12.00"
"Pearled Spelt"|"20335"|"23.25"|"Food Pirate"|"10.00"
"Spelt Grain"|"20336"|"22.20"|"Food Pirate"|"10.00"
"Sushi Rice - white"|"20337"|"14.84"|"Food Pirate"|"14.00"
"Sushi Rice - brown"|"20338"|"23.05"|"Food Pirate"|"14.00"
"Barley Grain - for sprouting"|"20339"|"6.35"|"Food Pirate"|"3.00"
"Spelt Grain - for sprouting"|"20340"|"13.75"|"Food Pirate"|"15.00"
"Spelt Grain - for sprouting"|"20341"|"34.15"|"Food Pirate"|"3.00"
"Wheat Grain - for sprouting"|"20342"|"4.35"|"Food Pirate"|"3.00"
"Green Spelt Grain - beechwood smoked"|"20343"|"14.10"|"Food Pirate"|"15.00"
"Wheatgrass Growing Kit"|"20344"|"8.35"|"Food Pirate"|"18.00"
"Camargue Red Rice"|"20345"|"11.79"|"Food Pirate"|"6.00"
"Risotto Rice - Brown "|"20346"|"13.85"|"Food Pirate"|"12.00"
"Thai Jasmine Rice - Brown   "|"20347"|"13.55"|"Food Pirate"|"5.00"
"Thai Jasmine Rice - White   "|"20348"|"11.15"|"Food Pirate"|"10.00"
"White Pudding Rice"|"20349"|"8.30"|"Food Pirate"|"16.00"
"Wild Rice Mix"|"20350"|"19.20"|"Food Pirate"|"12.00"
"Quinoa Grain - boxed"|"20351"|"18.90"|"Food Pirate"|"10.00"
"Red Quinoa Grain - boxed"|"20352"|"23.40"|"Food Pirate"|"17.00"
"Tri-Colore Quinoa Grain - boxed - white/red/black"|"20353"|"16.30"|"Food Pirate"|"17.00"
"Brown Basmati Rice"|"20354"|"24.34"|"Food Pirate"|"7.00"
"Brown Basmati Rice"|"20355"|"8.45"|"Food Pirate"|"11.00"
"White Basmati Rice"|"20356"|"36.25"|"Food Pirate"|"16.00"
"White Basmati Rice"|"20357"|"8.75"|"Food Pirate"|"15.00"
"Cous Cous"|"20358"|"7.65"|"Food Pirate"|"4.00"
"Palestinian Hand-rolled Cous Cous (maftoul)"|"20359"|"10.14"|"Food Pirate"|"14.00"
"Barley Flakes"|"20360"|"20.95"|"Food Pirate"|"14.00"
"Buckwheat Flakes"|"20361"|"33.80"|"Food Pirate"|"10.00"
"Barley Flakes"|"20362"|"5.25"|"Food Pirate"|"13.00"
"Millet Flakes"|"20363"|"41.85"|"Food Pirate"|"13.00"
